	PGS000706	PGS000957	PGS000958	PGS001320	PGS002777	PGS002778	PGS002994	PGS002995	PGS002996	PGS002997	PGS002998	PGS002999	PGS003000	PGS003001	PGS003002	PGS003003	PGS003004	PGS003005	PGS003006	PGS003007	PGS003008	PGS003009	PGS003010	PGS003011	PGS003012	PGS003013	PGS003014	PGS003015	PGS003016	PGS003017	PGS003018	PGS003019	PGS003020	PGS003021	PGS003022	PGS003023	PGS003024	PGS003025	PGS003026	PGS003027	PGS003028	PGS004191	PGS004193	PGS004194	PGS004195	PGS004455	PGS004456	PGS004525	PGS004526
hu0BCA45	1.4806399501947858	0.5072194370566001	0.4253391980839999	-0.055544320560800026	-4.893775999999999	-0.38254626280842047	0.13141698077405134	-0.1526813000000002	-0.19082280000000018	-0.15059154535933175	-0.3569100632759525	1.0368610973877077	0.10933756599999998	0.11955511600000004	0.009470534566957917	-0.132786844648404	-0.010294591113664599	-1.354	-5.0994	2.3126060999999995e-05	-0.022495603963614004	-0.0014656879913434	-0.21109999999999995	-2.9679000000000006	1.8284666900000003e-05	-0.012667530370343998	1.18572669150827	0.27249914900000005	0.260358021	0.07504738382416379	0.0783715302000968	-0.022407816426412472	-0.1314	-0.1314	1.994584e-05	-0.006243895608256	0.004021313189155159	-0.132	-0.132	1.413018e-05	-0.01234482332006	0.17029308491209272	0.32472986333363035	0.25070268938854	-0.07352770023982029	-0.5151379671083343	-0.2919702371529314	-0.08007472674749426	-0.0499059599450998
hu0D1FA1	3.761926469775403	1.338271701048	0.8835238598320003	0.7603854798959999	-1.7677579999999995	-0.2542282726864999	0.3481593607581879	0.6696026000000002	0.7177067500000001	0.2540218838867476	0.26644538889885155	1.4708161592849416	0.12008843199999997	0.12952755100000002	0.021763034103142564	-0.08608073028749696	-0.0125137780643815	0.44870000000000004	0.0002999999999997449	2.3258482999999998e-05	-0.025026973323040002	-0.0014656879913434	-0.19230000000000003	2.8895999999999993	2.7770634300000003e-05	-0.002983221956013999	1.0845450817835942	0.23433494700000002	0.21464888099999999	0.029050724042990972	0.023126136249243482	0.1594936698396183	-0.1314	-0.1314	1.994584e-05	0.004887724740553998	0.040930443530956595	-0.132	-0.132	1.413018e-05	-0.006307263146189998	0.30987715169951646	0.3493599861925642	0.27103624390935266	-0.004198985130726432	0.16692843140367505	0.21930376940263757	0.014802221646353718	0.04942848509256344
hu0D879F	2.7468129690618914	0.46090836788300005	0.6004082622459999	0.4332063705993999	-3.607298	-0.2518736141810004	0.20230441937452168	0.58666632	0.6258487000000001	0.024758925169664464	0.3304469629610026	0.9158754613810903	0.08033344	0.09278532399999999	0.10402254058310473	-0.03956734941669921	-0.011756520609672572	-1.6590999999999998	-2.7693	3.0949987999999994e-05	-0.014602774783602007	-0.0014656879913434	-0.9623999999999999	1.6583999999999999	3.57270746e-05	-0.0032513821687349953	1.3147438712583055	0.272364504	0.267985117	0.03752487079775356	0.1915570263415854	-0.02407861386436949	-0.1314	-0.1314	1.994584e-05	0.0018299202686999992	-0.015020162377567897	-0.132	-0.132	1.413018e-05	-0.017716016991409997	0.27610720619670703	0.3190688695301857	0.2849299769836675	0.004842480566340415	-0.06587371092381358	-0.3077698916783345	0.0405669569954772	0.01195656673281131
hu1AF4ED	2.757448780816902	0.020898174257300006	0.366870605458	0.4009481344758	-0.9258130000000002	-0.14290134165339985	0.24089367280226717	1.01902005	0.98502932	0.2996648496501036	0.08924644840572192	1.241513372866136	0.14564302399999998	0.151531021	0.0276545624422556	-0.06311032232510756	-0.010294591113664599	-1.1458	-2.857000000000001	3.494605299999999e-05	-0.02891222187718301	-0.0014656879913434	-0.6529	1.0218999999999996	5.442410700000001e-05	-0.007766323199504996	1.5995943779138395	0.284151728	0.27358910300000006	0.050940816434107875	0.16373043467316228	0.03787664772551194	-0.1314	-0.1314	2.6236009999999998e-05	-0.0019717610056800006	0.1269982416201026	-0.132	-0.132	2.37056e-05	-0.030729376570780002	0.259285616984636	0.4636269366200594	0.3429717753318341	0.0017941560823084846	-0.4777661719146298	-0.025341993380239874	-0.04116592965838984	0.009298283357219436
hu1B2689	4.2323823343326135	0.4680394425500002	0.3167104677469999	0.9648242088228004	0.8862830000000002	0.13947393516360004	0.40636191540376687	1.32309779	1.2894690800000004	0.03431362406826746	0.5158281010460137	1.2975289541330217	0.16077113899999998	0.16384813299999998	0.07435992676346523	-0.04285804239245267	-0.0132844293639909	-0.9039000000000003	-2.3042	8.5868328e-05	-0.010521701582241994	-0.0014656879913434	-0.23550000000000026	-0.19820000000000082	0.00010838813290000001	0.023877146110444995	1.0571050313622057	0.23190746500000003	0.22672716199999998	0.04934403312298163	0.11019155692391225	0.08921368004420638	-0.1314	-0.1314	9.97292e-06	0.006358107743330001	0.15232495515345756	-0.132	-0.132	7.06509e-06	0.010425245440780002	0.2778523583836481	0.4536206808367118	0.26710689156648315	0.001089506527804776	0.5187008068732655	0.4895518194461849	0.11688775664236765	0.10857832668320211
hu1E868D	2.378770734942276	0.5522751461940001	0.74095934816	0.2669992935937999	-1.897891	-0.19004919790230002	-0.0781448221106418	0.17120903	0.19670648999999996	-0.6261181102298548	0.11713043684258884	1.177523131752922	0.11098609900000003	0.112573849	0.028868096673656096	0.046302009288144666	-0.0015094121106879437	-0.7601000000000001	3.3942000000000014	5.192018999999994e-06	0.007504891499844004	0.0	-0.0678999999999998	-2.8330000000000015	1.50234428e-05	0.017820652657184004	1.1770584595554539	0.24554550600000002	0.23628284900000002	0.040303642583730606	0.009992778196541754	0.031611270507240115	0.0	0.0	1.994584e-05	0.013900010931510004	0.040067444347925904	0.0	0.0	1.413018e-05	0.011066946010090001	0.41216409782688745	0.42863678906413305	0.27590074793681774	-0.0007421460205033897	0.011133496947711194	0.04098328002755936	0.03008251164316953	0.04063559697104154
hu1EE386	3.4256260023748406	0.7544206099320001	0.654069393606	0.7038315344500001	0.9097140000000007	0.0809224488381	0.7442515036310758	0.92285507	0.94156809	0.5313037189388202	0.32821925014467557	1.1705999697570224	0.162978128	0.166217625	0.07284627449781299	-0.12036533852400964	-0.0022640488408076	0.019200000000000494	-2.2231000000000005	5.9692844e-05	-0.016412570915039996	0.0	-0.6397999999999999	-3.529	9.152417160000001e-05	-0.008687932498883996	0.9376699701741981	0.176539826	0.16164635400000005	0.10550526224924804	-0.01055719887720661	0.10657838421626423	0.0	0.0	1.994584e-05	0.014513591825164002	0.13382404599523948	0.0	0.0	1.413018e-05	-0.010909289412339998	0.41193804068373074	0.5613558701259913	0.308104907792154	0.008383376379019508	-0.10290761418372056	-0.31802433804539526	-0.0028503592781469016	-0.0387883593261423
hu2A9A49	2.713588997009475	0.31226856157829996	0.45755163634400015	0.0883610051283999	-0.2225230000000007	-0.011679394583000394	-0.01106074001145975	-0.20257035000000004	-0.17534117000000005	-0.420896166651439	-0.04033509442488141	1.5522888332824705	0.15792363199999998	0.16520597399999998	0.040314568671550956	-0.07691101524643701	-0.0009638573176925967	-0.8520000000000002	-4.5979	-1.918293000000005e-06	-0.0063373053517700026	0.0	-0.6652	-0.12819999999999965	-8.740887199999994e-06	0.008218028834136004	1.297642408522042	0.28485813000000004	0.27267634	-0.00046726725657393945	0.07597550551095934	0.054064133268873396	0.0	0.0	9.97292e-06	0.01068700964623	0.07133536524718127	0.0	0.0	7.06509e-06	-0.009085071023109993	0.20752146441614364	0.4225142898299197	0.2574791911782729	-0.0007842502256078382	-0.49523223732981975	-0.2853207833088452	-0.07293715666354765	-0.04207277649688048
hu2B76CC	-0.3256078566472925	-0.5407453387607	-0.33720283982599997	-0.8831664893511999	-2.784657	-0.24612597695300006	-0.31267197813744024	-1.10936154	-1.0038139000000001	0.2030969924065692	-0.18885533566639393	1.099131485301066	-0.01400936699999997	-0.009309074000000016	0.05614346003843968	-0.018609093223101555	-0.00021533162343229648	0.09989999999999999	-5.6303	1.7732294999999992e-05	0.007785750682325003	0.0	-0.18109999999999976	-7.404800000000001	1.27424909e-05	0.016742591306033	0.9360969000851449	0.277227632	0.27068828	0.014785359453688056	-0.04068614504788835	0.08048120574686832	0.0	0.0	1.994584e-05	0.020975496539229997	0.10269640958824136	0.0	0.0	1.413018e-05	0.009722149494054	0.35311344657623867	0.44731076606989106	0.33174957389924575	-0.011297161026186713	-0.47596808610571184	-0.17572335754316373	-0.049252827682385765	-0.00501895221574807
hu2D6140	0.8719323269966665	0.013367876460999947	0.13935044722699996	-0.29374074900970015	0.7169639999999994	0.08351136432110018	0.21309026028101052	0.15376161000000005	0.17753660999999993	-0.29101222632946505	0.1463224610375037	1.1100462911931366	0.07744853299999999	0.09379201099999998	0.008288738868638158	0.0021332196047112676	-0.0016237712496627703	-0.2614999999999996	-5.651200000000001	-3.4288540000000007e-06	0.002568320540349998	0.0	-0.7024999999999999	-2.615	9.888286100000002e-06	0.025971319511753004	1.299255618587454	0.259359349	0.2553637140000001	0.010632345416905862	0.15335803763348713	0.1166678928267092	0.0	0.0	1.994584e-05	0.011841128052800003	0.12965237181182562	0.0	0.0	1.413018e-05	-0.0010352356242399963	0.3080226916048907	0.4185094884802552	0.2581772406227852	0.025467960829320093	0.06597560966948716	-0.1100864192929375	0.03078420851550949	0.0005607760907383515
